project_artifact,project_artifact_7,project_artifact_8,project_artifact_9,project_artifact_10,project_artifact_17,project_artifact_11,project_artifact_12,project_artifact_13,project_artifact_14,project_artifact_15,project_artifact_16
project_useCase,project_useCase_4,project_useCase_5,project_useCase_6,project_useCase_7,project_useCase_14,project_useCase_8,project_useCase_9,project_useCase_10,project_useCase_11,project_useCase_12,project_useCase_13
credit_medium,credit_medium_1,credit_medium_2,credit_medium_3,credit_medium_4,credit_medium_5,credit_medium_6,credit_medium_7,credit_medium_8,credit_medium_9,,
credit_freqFromProjects,credit_freqFromProjects_1,credit_freqFromProjects_2,credit_freqFromProjects_3,credit_freqFromProjects_4,credit_freqFromProjects_5,credit_freqFromProjects_6,,,,,
credit_freqForTasks,credit_freqForTasks_1,credit_freqForTasks_2,credit_freqForTasks_3,credit_freqForTasks_4,credit_freqForTasks_5,credit_freqForTasks_6,,,,,
satis_medium,satis_medium_1,satis_medium_2,satis_medium_3,satis_medium_4,satis_medium_5,,,,,,
freq_seenBy2,freq_seenBy2_17,freq_seenBy2_18,freq_seenBy2_19,freq_seenBy2_20,freq_seenBy2_21,freq_seenBy2_6,,,,,
freq_seenBy1,freq_seenBy1_1,freq_seenBy1_2,freq_seenBy1_3,freq_seenBy1_4,freq_seenBy1_5,freq_seenBy1_6,,,,,
freq_seenBy0,freq_seenBy0_1,freq_seenBy0_2,freq_seenBy0_3,freq_seenBy0_4,freq_seenBy0_5,freq_seenBy0_6,,,,,
satis_taskFreq,satis_taskFreq_1,satis_taskFreq_2,satis_taskFreq_3,satis_taskFreq_4,satis_taskFreq_5,,,,,,
credit_importance,credit_importance_28,credit_importance_29,credit_importance_30,credit_importance_31,credit_importance_32,,,,,,
