Q3,project_artifact
Q3_7,project_artifact_7
Q3_8,project_artifact_8
Q3_9,project_artifact_9
Q3_10,project_artifact_10
Q3_17,project_artifact_17
Q3_11,project_artifact_11
Q3_12,project_artifact_12
Q3_13,project_artifact_13
Q3_14,project_artifact_14
Q3_15,project_artifact_15
Q3_16,project_artifact_16
Q3_16_TEXT,project_artifact_text
Q4,project_useCase
Q4_4,project_useCase_4
Q4_5,project_useCase_5
Q4_6,project_useCase_6
Q4_7,project_useCase_7
Q4_14,project_useCase_14
Q4_8,project_useCase_8
Q4_9,project_useCase_9
Q4_10,project_useCase_10
Q4_11,project_useCase_11
Q4_12,project_useCase_12
Q4_13,project_useCase_13
Q4_13_TEXT,project_useCase_text
Q7,credit_freqFromProjects
Q7_1,credit_freqFromProjects_1
Q7_2,credit_freqFromProjects_2
Q7_3,credit_freqFromProjects_3
Q7_4,credit_freqFromProjects_4
Q7_5,credit_freqFromProjects_5
Q7_6,credit_freqFromProjects_6
Q8,credit_freqForTasks
Q8_1,credit_freqForTasks_1
Q8_2,credit_freqForTasks_2
Q8_3,credit_freqForTasks_3
Q8_4,credit_freqForTasks_4
Q8_5,credit_freqForTasks_5
Q8_6,credit_freqForTasks_6
Q9,credit_medium
Q9_1,credit_medium_1
Q9_2,credit_medium_2
Q9_3,credit_medium_3
Q9_4,credit_medium_4
Q9_5,credit_medium_5
Q9_6,credit_medium_6
Q9_7,credit_medium_7
Q9_8,credit_medium_8
Q9_9,credit_medium_9
Q9_8_TEXT,credit_medium_text
Q10,satis_medium
Q10_1,satis_medium_1
Q10_2,satis_medium_2
Q10_3,satis_medium_3
Q10_4,satis_medium_4
Q10_5,satis_medium_5
Q11,freq_seenBy2
Q11_17,freq_seenBy2_17
Q11_18,freq_seenBy2_18
Q11_19,freq_seenBy2_19
Q11_20,freq_seenBy2_20
Q11_21,freq_seenBy2_21
Q11_6,freq_seenBy2_6
Q12,freq_seenBy1
Q12_1,freq_seenBy1_1
Q12_2,freq_seenBy1_2
Q12_3,freq_seenBy1_3
Q12_4,freq_seenBy1_4
Q12_5,freq_seenBy1_5
Q12_6,freq_seenBy1_6
Q13,freq_seenBy0
Q13_1,freq_seenBy0_1
Q13_2,freq_seenBy0_2
Q13_3,freq_seenBy0_3
Q13_4,freq_seenBy0_4
Q13_5,freq_seenBy0_5
Q13_6,freq_seenBy0_6
Q14,satis_taskFreq
Q14_1,satis_taskFreq_1
Q14_2,satis_taskFreq_2
Q14_3,satis_taskFreq_3
Q14_4,satis_taskFreq_4
Q14_5,satis_taskFreq_5
Q15,credit_importance
Q15_28,credit_importance_28
Q15_29,credit_importance_29
Q15_30,credit_importance_30
Q15_31,credit_importance_31
Q15_32,credit_importance_32
Q16,text_whatDidWork
Q17,text_whatDidntWork
Q18,text_anythingElse
Path1-LaborVisibility_DO,order
Path1-LaborVisibility_DO_Q28,order_Q28
Path1-LaborVisibility_DO_Q13,order_Q13
Path1-LaborVisibility_DO_Q12,order_Q12
Path1-LaborVisibility_DO_Q11,order_Q11
